Csaladnev
Nagy
Kovács
Tóth
Szabó
Horváth
Varga
Kiss
Molnár
Németh
Balogh
Farkas
Lakatos
Papp
Takács
Juhász
Oláh
Mészáros
Simon
Rácz
Fekete
Szilágyi
Török
Fehér
Balázs
Gál
Kis
Szûcs
Orsós
Kocsis
Fodor
Pintér
Szalai
Sipos
Magyar
Lukács
Gulyás
Balog
Biró
Király
László
Bogdán
Jakab
Katona
Váradi
Sándor
Boros
Fazekas
Kelemen
Orosz
Antal
Somogyi
Fülöp
Budai
Veres
Vincze
Deák
Hegedûs
Pap
Bálint
Illés
Pál
Vass
Jónás
Szõke
Fábián
Bodnár
Lengyel
Bognár
Vörös
Szücs
Hajdu
Halász
Máté
Székely
Kozma
Gáspár
Bakos
Pásztor
Virág
Dudás
Major
Orbán
Hegedüs
Barna
Novák
Tamás
Soós
Nemes
Pataki
Balla
Csonka
Péter
Barta
Berki
Mezei
Borbély
Faragó
Kerekes
Sárközi
Márton
