,,PostalCodeID,PostalCode,CityName
,,7841,2,Baranyahídvég
,,7384,2,Baranyajenő
,,7383,2,Baranyaszentgyörgy
,,9169,8,Barbacs
,,7557,15,Barcs
,,7570,15,Barcs
,,7478,15,Bárdudvarnok
,,8948,20,Barlahida
,,3126,13,Bárna
,,8291,19,Barnag
,,2883,12,Bársonyos
,,7923,2,Basal
,,3881,4,Baskó
,,7149,17,Báta
,,7164,17,Bátaapáti
,,7140,17,Bátaszék
,,7258,15,Baté
,,6528,1,Bátmonostor
,,3078,13,Bátonyterenye
,,3070,13,Bátonyterenye
,,3336,10,Bátor
,,4343,16,Bátorliget
,,5830,3,Battonya
,,6351,1,Bátya
,,8797,20,Batyk
,,8887,20,Bázakerettye
,,8352,19,Bazsi
,,8565,19,Béb
,,8866,20,Becsehely
,,2693,13,Becske
,,3768,4,Becskeháza
,,8985,20,Becsvölgye
,,8666,15,Bedegkér
,,4128,9,Bedő
,,9683,18,Bejcgyertyános
,,8515,19,Békás
,,3903,4,Bekecs
,,5630,3,Békés
,,5600,3,Békéscsaba
,,5671,3,Békéscsaba
,,5623,3,Békéscsaba
,,5946,3,Békéssámson
,,5561,3,Békésszentandrás
,,3343,10,Bekölce
,,3346,10,Bélapátfalva
,,7589,15,Bélavár
,,7061,17,Belecska
,,9343,8,Beled
,,7543,15,Beleg
,,8855,20,Belezna
,,5643,3,Bélmegyer
,,2455,7,Beloiannisz
,,8978,20,Belsősárd
,,7747,2,Belvárdgyula
,,4643,16,Benk
,,2216,14,Bénye
,,3045,13,Bér
,,9831,18,Bérbaltavár
,,2687,13,Bercel
,,4934,16,Beregdaróc
,,4933,16,Beregsurány
,,4116,9,Berekböszörmény
,,5309,11,Berekfürdő
,,7827,2,Beremend
,,3704,4,Berente
,,3834,4,Beret
,,4100,9,Berettyóújfalu
,,8181,19,Berhida
,,8182,19,Berhida
,,2641,13,Berkenye
,,7664,2,Berkesd
,,4521,16,Berkesz
,,2639,14,Bernecebaráti
,,3575,4,Berzék
,,7516,15,Berzence
,,7838,2,Besence
,,4557,16,Besenyőd
,,3373,10,Besenyőtelek
,,5071,11,Besenyszög
,,2456,7,Besnyő
,,4488,16,Beszterec
,,7782,2,Bezedek
,,9223,8,Bezenye
,,8934,20,Bezeréd
,,9162,8,Bezi
,,2051,14,Biatorbágy
,,7671,2,Bicsérd
,,2060,7,Bicske
,,4175,9,Bihardancsháza
,,4110,9,Biharkeresztes
,,4172,9,Biharnagybajom
,,4174,9,Bihartorda
,,5538,3,Biharugra
,,7043,17,Bikács
,,7346,2,Bikal
,,4235,16,Biri
,,7747,2,Birján
,,7811,2,Bisse
,,9542,18,Boba
,,8943,20,Bocfölde
,,3368,10,Boconád
,,6235,1,Bócsa
,,8776,20,Bocska
,,4241,9,Bocskaikert
,,7672,2,Boda
,,8053,7,Bodajk
,,8080,7,Bodmér
,,7394,2,Bodolyabér
,,9134,8,Bodonhely
,,3243,10,Bodony
,,8471,19,Bodorfa
,,7439,15,Bodrog
,,3987,4,Bodroghalom
,,3916,4,Bodrogkeresztúr
,,3917,4,Bodrogkisfalud
,,3943,4,Bodrogolaszi
,,3768,4,Bódvalenke
,,3764,4,Bódvarákó
,,3763,4,BódVaszilas
,,3412,4,Bogács
,,7742,2,Bogád
,,7836,2,Bogádmindszent
,,7966,2,Bogdása
,,7132,17,Bogyiszló
,,9324,8,Bogyoszló
,,4114,9,Bojt
,,8741,20,Bókaháza
,,2855,12,Bokod
,,3066,13,Bokor
,,3016,10,Boldog
,,7937,2,Boldogasszonyfa
,,3884,4,Boldogkőújfalu
,,3885,4,Boldogkőváralja
,,3794,4,Boldva
,,7517,15,Bolhás
,,7586,15,Bolhó
,,7754,2,Bóly
,,8992,20,Boncodfölde
,,7150,17,Bonyhád
,,7187,17,Bonyhád
,,7158,17,Bonyhádvarasd
,,7281,15,Bonnya
,,6795,6,Bordány
,,9554,18,Borgáta
,,7756,2,Borjád
,,6445,1,Borota
,,8885,20,Borsfa
,,3658,4,Borsodbóta
,,3426,4,Borsodgeszt
,,3462,4,Borsodivánka
,,3671,4,Borsodnádasd
,,3672,4,Borsodnádasd
,,3623,4,Borsodszentgyörgy
,,3796,4,Borsodszirák
,,2644,13,Borsosberény
,,8479,19,Borszörcsök
,,8428,19,Borzavár
,,7811,2,Bosta
,,4955,16,Botpalád
,,7900,2,Botykapeterd
,,9752,18,Bozzai
,,9727,18,Bozsok
,,3994,4,Bózsva
,,9625,18,Bő
,,3574,4,Bőcs
,,8991,20,Böde
,,8969,20,Bödeháza
,,9612,18,Bögöt
,,9675,18,Bögöte
,,8719,15,Böhönye
,,4231,16,Bököny
,,7025,17,Bölcske
,,9073,8,Bőny
,,9152,8,Börcs
,,8772,20,Börzönce
,,9167,8,Bősárkány
,,7475,15,Bőszénfa
,,5527,3,Bucsa
,,9792,18,Bucsu
,,8925,20,Búcsúszentlászló
,,8893,20,Bucsuta
,,2093,14,Budajenő
,,2011,14,Budakalász
,,2092,14,Budakeszi
,,2040,14,Budaörs
,,1011,5,Budapest
,,1012,5,Budapest
,,1014,5,Budapest
,,1015,5,Budapest
,,1013,5,Budapest
,,1016,5,Budapest
,,1022,5,Budapest
,,1029,5,Budapest
,,1027,5,Budapest
,,1026,5,Budapest
,,1021,5,Budapest
,,1023,5,Budapest
,,1024,5,Budapest
,,1025,5,Budapest
,,1028,5,Budapest
,,1039,5,Budapest
,,1031,5,Budapest
,,1032,5,Budapest
,,1033,5,Budapest
,,1034,5,Budapest
,,1037,5,Budapest
,,1035,5,Budapest
,,1038,5,Budapest
,,1036,5,Budapest
,,1047,5,Budapest
,,1045,5,Budapest
,,1041,5,Budapest
,,1043,5,Budapest
,,1048,5,Budapest
,,1046,5,Budapest
,,1044,5,Budapest
,,1042,5,Budapest
,,1055,5,Budapest
,,1051,5,Budapest
,,1054,5,Budapest
,,1052,5,Budapest
,,1056,5,Budapest
,,1053,5,Budapest
,,1065,5,Budapest
,,1067,5,Budapest
,,1063,5,Budapest
,,1066,5,Budapest
,,1068,5,Budapest
,,1064,5,Budapest
,,1061,5,Budapest
,,1062,5,Budapest
,,1074,5,Budapest
,,1072,5,Budapest
,,1071,5,Budapest
,,1076,5,Budapest
,,1075,5,Budapest
,,1078,5,Budapest
,,1073,5,Budapest
,,1077,5,Budapest
,,1086,5,Budapest
,,1085,5,Budapest
,,1081,5,Budapest
,,1088,5,Budapest
,,1087,5,Budapest
,,1089,5,Budapest
,,1084,5,Budapest
,,1082,5,Budapest
,,1083,5,Budapest
,,1095,5,Budapest
,,1098,5,Budapest
,,1093,5,Budapest
,,1097,5,Budapest
,,1091,5,Budapest
,,1092,5,Budapest
,,1096,5,Budapest
,,1094,5,Budapest
,,1106,5,Budapest
,,1108,5,Budapest
,,1103,5,Budapest
,,1104,5,Budapest
,,1101,5,Budapest
,,1107,5,Budapest
,,1105,5,Budapest
,,1102,5,Budapest
,,1115,5,Budapest
,,1111,5,Budapest
,,1146,5,Budapest
,,1112,5,Budapest
,,1116,5,Budapest
,,1114,5,Budapest
,,1118,5,Budapest
,,1113,5,Budapest
,,1119,5,Budapest
,,1117,5,Budapest
,,1121,5,Budapest
,,1125,5,Budapest
,,1122,5,Budapest
,,1126,5,Budapest
,,1124,5,Budapest
,,1123,5,Budapest
,,1134,5,Budapest
,,1136,5,Budapest
,,1132,5,Budapest
,,1007,5,Budapest
,,1133,5,Budapest
,,1135,5,Budapest
,,1138,5,Budapest
,,1137,5,Budapest
,,1139,5,Budapest
,,1131,5,Budapest
,,1143,5,Budapest
,,1146,5,Budapest
,,1147,5,Budapest
,,1148,5,Budapest
,,1149,5,Budapest
,,1141,5,Budapest
,,1142,5,Budapest
,,1144,5,Budapest
,,1145,5,Budapest
,,1158,5,Budapest
,,1156,5,Budapest
,,1155,5,Budapest
,,1157,5,Budapest
,,1154,5,Budapest
,,1152,5,Budapest
,,1151,5,Budapest
,,1153,5,Budapest
,,1161,5,Budapest
,,1165,5,Budapest
,,1163,5,Budapest
,,1162,5,Budapest
,,1164,5,Budapest
,,1161,5,Budapest
,,1173,5,Budapest
,,1117,5,Budapest
,,1172,5,Budapest
,,1171,5,Budapest
,,1174,5,Budapest
,,1182,5,Budapest
,,1188,5,Budapest
,,1184,5,Budapest
,,1181,5,Budapest
,,1185,5,Budapest
,,1238,5,Budapest
,,1186,5,Budapest
,,1183,5,Budapest
,,1196,5,Budapest
,,1192,5,Budapest
,,1194,5,Budapest
,,1193,5,Budapest
,,1195,5,Budapest
,,1191,5,Budapest
,,1204,5,Budapest
,,1201,5,Budapest
,,1205,5,Budapest
,,1202,5,Budapest
,,1203,5,Budapest
,,1211,5,Budapest
,,1212,5,Budapest
,,1215,5,Budapest
,,1213,5,Budapest
,,1214,5,Budapest
,,1222,5,Budapest
,,1225,5,Budapest
,,1221,5,Budapest
,,1224,5,Budapest
,,1223,5,Budapest
,,1239,5,Budapest
,,1238,5,Budapest
,,1237,5,Budapest
,,6114,1,Bugac
,,6114,1,Bugacpusztaháza
,,2347,14,Bugyi
,,4483,16,Buj
,,3047,13,Buják
,,8695,15,Buzsák
,,9737,18,Bük
,,9740,18,Bük
,,3422,4,Bükkábrány
,,3554,4,Bükkaranyos
,,3648,4,Bükkmogyorósd
,,7682,2,Bükkösd
,,3335,10,Bükkszék
,,3257,10,Bükkszenterzsébet
,,3557,4,Bükkszentkereszt
,,3346,10,Bükkszentmárton
,,3414,4,Bükkzsérc
,,7973,2,Bürüs
,,7273,15,Büssü
,,3821,4,Büttös
,,9725,18,Cák
,,9165,8,Cakóháza
,,7013,7,Cece
,,4732,16,Cégénydányád
,,2700,14,Cegléd
,,2738,14,Cegléd
,,2737,14,Ceglédbercel
,,9500,18,Celldömölk
,,9541,18,Celldömölk
,,3123,13,Cered
,,9624,18,Chernelházadamonya
,,5462,11,Cibakháza
,,3973,4,Cigánd
,,7161,17,Cikó
,,9364,8,Cirák
,,7843,2,Cún
,,5551,3,Csabacsűd
,,5609,3,Csabaszabadi
,,2064,7,Csabdi
,,8474,19,Csabrendek
,,9375,8,Csáfordjánosfa
,,4967,16,Csaholc
,,8163,19,Csajág
,,8735,15,Csákány
,,9919,18,Csákánydoroszló
,,8073,7,Csákberény
,,8083,7,Csákvár
,,6915,6,Csanádalberti
,,5662,3,Csanádapáca
,,6913,6,Csanádpalota
,,9654,18,Csánig
,,3015,10,Csány
,,7964,2,Csányoszró
,,6647,6,Csanytelek
,,8756,20,Csapi
,,9372,8,Csapod
,,5621,3,Csárdaszállás
,,7811,2,Csarnóta
,,4844,16,Csaroda
,,2858,12,Császár
,,6239,1,Császártöltés
,,4973,16,Császló
,,6523,1,Csátalja
,,8943,20,Csatár
,,5064,11,Csataszög
,,2888,12,Csatka
,,6448,1,Csávoly
,,7935,2,Csebény
,,3052,13,Csécse
,,4742,16,Csegöld
,,8445,19,Csehbánya
,,9833,18,Csehi
,,9834,18,Csehimindszent
,,2949,12,Csém
,,2713,14,Csemő
,,9764,18,Csempeszkopács
,,6765,6,Csengele
,,4765,16,Csenger
,,4743,16,Csengersima
,,4764,16,Csengerújfalu
,,6222,1,Csengőd
,,9611,18,Csénye
,,3837,4,Csenyéte
,,2946,12,Csép
,,5475,11,Csépa
,,9735,18,Csepreg
,,9375,8,Csér
,,7683,2,Cserdi
,,7472,15,Cserénfa
,,3413,4,Cserépfalu
,,3417,4,Cserépváralja
,,2694,13,Cserháthaláp
,,2676,13,Cserhátsurány
,,3066,13,Cserhátszentiván
,,5465,11,Cserkeszőlő
,,7673,2,Cserkút
,,3648,4,Csernely
,,8372,20,Cserszegtomaj
,,8951,20,Csertalakos
,,7900,2,Csertő
,,8419,19,Csesznek
,,8973,20,Csesztreg
,,2678,13,Csesztve
,,8417,19,Csetény
,,2212,14,Csévharaszt
,,7225,17,Csibrák
,,6424,1,Csikéria
,,7341,17,Csikóstőttős
,,9127,8,Csikvánd
,,3442,4,Csincse
,,9836,18,Csipkerek
,,2673,13,Csitár
,,3848,4,Csobád
,,3927,4,Csobaj
,,2014,14,Csobánka
,,8074,7,Csókakő
,,7555,15,Csokonyavisonta
,,3647,4,Csokvaomány
,,2521,12,Csolnok
,,6135,1,Csólyospálos
,,7253,15,Csoma
,,2161,14,Csomád
,,7432,15,Csombárd
,,6640,6,Csongrád
,,6648,6,Csongrád
,,8918,20,Csonkahegyhát
,,7940,2,Csonkamindszent
,,8229,19,Csopak
,,8041,7,Csór
,,9300,8,Csorna
,,9168,8,Csorna
,,5920,3,Csorvás
,,8558,19,Csót
,,8999,20,Csöde
,,8495,19,Csögle
,,4145,9,Csökmő
,,7526,15,Csököly
,,8700,15,Csömend
,,8957,20,Csömödér
,,2141,14,Csömör
,,9513,18,Csönge
,,8873,20,Csörnyeföld
,,2135,14,Csörög
,,9962,18,Csörötnek
,,8122,7,Csősz
,,2615,14,Csővár
,,8840,15,Csurgó
,,8840,15,Csurgónagymarton
,,2370,14,Dabas
,,2371,14,Dabas
,,2373,14,Dabas
,,8345,19,Dabronc
,,8485,19,Dabrony
,,2854,12,Dad
,,2522,12,Dág
,,8592,19,Dáka
,,7211,17,Dalmand
,,3780,4,Damak
,,3978,4,Dámóc
,,2735,14,Dánszentmiklós
,,2118,14,Dány
,,9917,18,Daraboshegy
,,7988,15,Darány
,,4737,16,Darnó
,,9232,8,Darnózseli
,,2423,7,Daruszentmiklós
,,4144,9,Darvas
,,6524,1,Dávod
,,2694,13,Debercsény
,,4078,9,Debrecen
,,4033,9,Debrecen
,,4027,9,Debrecen
,,4028,9,Debrecen
,,4030,9,Debrecen
,,4032,9,Debrecen
,,4031,9,Debrecen
,,4024,9,Debrecen
,,4002,9,Debrecen
,,4029,9,Debrecen
,,4225,9,Debrecen
,,4025,9,Debrecen
,,4063,9,Debrecen
,,4034,9,Debrecen
,,4026,9,Debrecen
,,4079,9,Debrecen
,,4042,9,Debrecen
,,3825,4,Debréte
,,7144,17,Decs
,,3643,4,Dédestapolcsány
,,8135,7,Dég
,,2649,13,Dejtár
,,2337,14,Délegyháza
,,4516,16,Demecser
,,3395,10,Demjén
,,7915,2,Dencsháza
,,9365,8,Dénesfa
,,4130,9,Derecske
,,6621,6,Derekegyház
,,6772,6,Deszk
,,3834,4,Detek
,,3275,10,Detk
,,5510,3,Dévaványa
,,8460,19,Devecser
,,7683,2,Dinnyeberki
,,7072,17,Diósberény
,,2049,14,Diósd
,,2643,13,Diósjenő
,,8764,20,Dióskál
,,7817,2,Diósviszló
,,8482,19,Doba
,,5624,3,Doboz
,,8874,20,Dobri
,,8989,20,Dobronhegy
,,6766,6,Dóc
,,3627,4,Domaháza
,,6781,6,Domaszék
,,5836,3,Dombegyház
,,5745,3,Dombiratos
,,7200,17,Dombóvár
,,4492,16,Dombrád
,,2182,14,Domony
,,3263,10,Domoszló
,,3374,10,Dormánd
,,2510,12,Dorog
,,3153,13,Dorogháza
,,9791,18,Dozmat
,,9914,18,Döbörhegy
,,8357,20,Döbröce
,,7228,17,Döbrököz
,,8597,19,Döbrönte
,,4495,16,Döge
,,2027,12,Dömös
,,2344,14,Dömsöd
,,9147,8,Dör
,,8244,19,Dörgicse
,,9913,18,Döröske
,,8799,20,Dötk
,,3721,4,Dövény
,,6342,1,Drágszél
,,7849,2,Drávacsehi
,,7846,2,Drávacsepely
,,7967,2,Drávafok
,,7977,15,Drávagárdony
,,7960,2,Drávaiványi
,,7967,2,Drávakeresztúr
,,7850,2,Drávapalkonya
,,7843,2,Drávapiski
,,7851,2,Drávaszabolcs
,,7847,2,Drávaszerdahely
,,7960,2,Drávasztára
,,7979,15,Drávatamási
,,2646,13,Drégelypalánk
,,3635,4,Dubicsány
,,8416,19,Dudar
,,9556,18,Duka
